id,title,brief,url,img_src,message
124,崇左武警官兵重温入党誓词,是传承红色基因、赓续红色血脉，也是锤炼党性、砥砺政治品格,https://military.cctv.com/2021/07/06/ARTI3nHLcavHReLfsnX39byD210706.shtml,https://p1.img.cctvpic.com/photoworkspace/2021/07/06/2021070617195460565.jpg,心中有信仰，脚下有力量。近日，武警崇左支队某中队开展“新党员入党宣誓暨老党员重温入党誓词”仪式，引导官兵从铭记历史中汲取强军实践的前进动力，激励新老党员以实际行动践行党旗下的铮铮誓言，以更加饱满的热情投身强军实践。面向鲜红的中国共产党党旗，该中队党支部书记何泽宇同志举起右拳，带领全体党员逐句重温入党时的铮铮誓言、铿锵有力的宣誓声响彻营区……参加活动后，广大党员纷纷表示：在中国共产党成立100周年之际，重温入党誓词，既是传承红色基因、赓续红色血脉，也是锤炼党性、砥砺政治品格，作为一名党员就是要铭记初心、铭记使命、铭记责任，只争朝夕、不负时代，努力作出自己应有的贡献！(李章禄、宋猛)
125,文职人员任换男：披上“孔雀蓝”，我就是冲锋的战士,父亲是一名退伍军人，从小受外公和父亲的影响对军人始终怀着敬仰之情，“心有所向，便一往无前！”,https://military.cctv.com/2021/07/06/ARTIW0kqn74btBRJv6is7Hc8210706.shtml,https://p4.img.cctvpic.com/photoworkspace/2021/07/06/2021070617125841541.jpg,任换男的外公是一名抗美援朝志愿军老战士，父亲是一名退伍军人，从小受外公和父亲的影响对军人始终怀着敬仰之情，“心有所向，便一往无前！”2007年从承德医学院毕业后，她放弃出国工作机会，随着强军大潮来到当时的武警医学院附属医院，2008年以优异成绩考取医院首批文职人员，又顺利地从一名“护士”转身为“战士”，在同事眼中，任换男是个无所不知，无所不能的“女汉子”。工作中，她态度严谨、严于律己，不仅操作技术强，理论基础也是相当扎实，每次的岗位技能比武都是名列前茅。作为文职人员，她积极主动帮助新入职人员，无论在工作中还是在生活中谁遇到困难，她都会第一时间伸出援手，为大家帮困解难。“护理工作无小事，要用真心、用真情，一点一滴的付出。”只有事事关心，才能件件到位。身披孔雀蓝，就要为官兵和驻地百姓健康拼尽心力，这就是她的真实写照。作为一名有着医院多年工作经验的医务工作者，任换男无疑是称职到位的；作为一名先后在肾病科、血透室工作的文职主管护师，她的工作能力也是有口皆碑。2014年，任换男接到新任务，因工作需要，考虑到她喜欢孩子，并且有一定基础，组织决定将她调整至儿科工作。俗话说，跨行如隔山。从血透室到儿科，中间难度可想而知。但是当领导征求她个人意见时，她没有太多的迟疑，“我服从组织安排”，这是她给组织的答复，轻柔简短而又掷地有声。“组织既然信任我，我就要把这副担子挑起来。”这是她给家人的解释，朴实而又让人肃然起敬。初到新岗位，对一个成人科室过来的护士来讲最大的难度就是穿刺，短期内要适应工作环境的改变。任换男本着“干什么、学什么，缺什么、补什么，什么弱、学什么”的原则，恶补儿科护理工作常识，一面积极地向科里老同志取经，一面利用业余时间去天津市儿童医院进修学习，3个月穿刺成功率从70%提升到99.5%，还参加了全国儿童肺功能检查临床应用与规范化培训，考取了儿科肺功能技师证书。“我的人生不求轰轰烈烈，但干工作一定要兢兢业业。”任换男是这么说的，也是这么做的，无论是平时护理工作中的主管护师、还是医疗队里的战士，她都始终严格要求，自觉精业强能。多用心、多观察、多解释、多问需求，这是任换男自己总结的护理“四多”原则。渐渐地，谈起任换男，在儿科病区治疗的小朋友家长都说：“这个护士心细、谦虚、能干，让人放心呐。”2020年初，新冠肺炎疫情爆发，任换男第一时间写下请战书，随同军队支援湖北医疗队援鄂，冲在第一线，无畏逆行、征战江城55个日夜，圆满完成了战“疫”任务。工作中的心酸苦楚，任换男从不对家人说，都是自己硬扛着。那段时间，每次视频，她都会宽慰家人：“别担心，这边一切都很好，很快就能回去了。”疫区每天都在发生着感人的故事，任换男也在这一天又一天的工作中，汲取着来自战友以及病人的关心关爱，感受着他们的积极乐观。每次为患者护理，给他们测体温、指脉氧，做静脉穿刺时，大家都会说“谢谢，辛苦你了！”“天津来的啊，那么远，太辛苦你们了！”每当这时，一股股暖流便会涌上任换男的心头，所有的不适、难受，都转化成了坚持努力工作下去的动力。工作之余，任换男发挥文艺骨干的作用，为患者开展心理疏导、唱生日歌、教跳广播操，帮助患者缓解压力。“披着孔雀蓝，我就是一名战士，组织有召唤，就要赴汤蹈火，穿上护士服，我就是一名白衣天使，有使命在肩，有人命关天。我骄傲，我是一名军队女护士！”这是任换男的文职故事。入列当不辱使命、就职当不畏艰难、受命当不负重托，这是她向组织上交的答卷，无悔的青春岁月，她在强军征途上笃志前行，相信在强军号角下她的文职之路会越走越远、越走越宽。（崔兰斌、王良）
126,队列会操展风采 强化意识促提高,近日，南部战区海军航空兵某场站组织2021年度上半年队列会操。,https://military.cctv.com/2021/07/05/ARTI6PVWxbzXFahiHeTSHTQD210705.shtml,https://p2.img.cctvpic.com/photoworkspace/2021/07/05/2021070511583081649.jpg,为提高官兵队列素养，强化作风养成，增强条令意识，近日，南部战区海军航空兵某场站组织2021年度上半年队列会操，以良好的精神风貌庆祝建党100周年。来自机关和基层的19支代表队同台比拼、一展风采。此次会操，展示了场站官兵良好的精神风貌，检验了各单位的队列训练成果，强化了官兵的队列意识和纪律意识，为部队正规化建设奠定了坚实基础。（卓灵鹏）
127,南部战区海军航空兵某旅隆重举行升旗仪式,在庄重的仪式中表达爱党爱国之情和矢志强军之心。,https://military.cctv.com/2021/07/05/ARTIXYEEeHlStM5a074NTV2D210705.shtml,https://p3.img.cctvpic.com/photoworkspace/2021/07/05/2021070511202410711.jpg,近日，南部战区海军航空兵某旅隆重举行“庆祝中国共产党成立100周年”升旗仪式。现场庄严肃穆，上千名官兵伴着雄壮的国歌声向国旗敬礼。随后，在场全体党员面向鲜红的党旗举起右拳，重温入党誓词，在庄重的仪式中表达爱党爱国之情和矢志强军之心。（郭凌岳聂海飞卓灵鹏陆文杰赖伟）
128,海南三亚：武警官兵为建党百年保驾护航,执勤官兵克服气温炎热、连续执勤身体疲惫等困难，以高度的政治使命感和最佳状态，坚守好岗位，服务好人民。,https://military.cctv.com/2021/07/05/ARTIJIaH2PK6Gz1MTFvkvwKZ210705.shtml,https://p4.img.cctvpic.com/photoworkspace/2021/07/05/2021070511140788687.jpg,“七一”期间，在海南三亚街头小巷，红色元素刷新了城市的颜值，成就了一道道靓丽的风景，诉说着这座城市对党的祝福。为确保“七一”期间社会稳定，武警三亚支队召开专题会议进行研究部署，并结合当前开展的党史学习教育，强化执勤官兵的政治担当，统一官兵思想，把圆满完成任务作为“捍卫政治安全、维护社会安定、保障人民安宁”的实践承诺。任务中，广大党员干部一线指挥，以身作则，既当指挥员又当战斗员。执勤官兵克服气温炎热、连续执勤身体疲惫等困难，以高度的政治使命感和最佳状态，坚守好岗位，服务好人民。（周奕）
129,拳拳到肉！武警官兵搏击集训热血来袭,提升遂行任务能力，进一步增强官兵徒手实战技能，储备搏击训练人才。,https://military.cctv.com/2021/07/05/ARTII8aAc3c6ad6hrnBQ8D5T210705.shtml,https://p4.img.cctvpic.com/photoworkspace/2021/07/05/2021070511064754615.jpg,为提升遂行任务能力，进一步增强官兵徒手实战技能，储备搏击训练人才，近日，武警第一机动总队某支队在嵩山腹地组织开展为期20天的搏击集训，此次集训外聘地方武校教练担任任课教员，以提升官兵实战能力为标准。据了解，此次集训官兵需要完成搏击理论、基本技能、应用制敌、教学法、裁判手势及规则、实战对抗6大类30余个课目的学习训练，全程突出实战效能这一关键，全面提高综合格斗摔擒实战技能、一招制敌本领和教学组训水平。(闫召杰、蔡霖伟、钱彦奇)
130,第81集团军某旅在驻训地开展活动庆祝建党百年,7月1日，正在塞北草原开展实战化练兵的第81集团军某旅官兵通过电视直播收看了庆祝中国共产党成立100周年大会盛况。,https://military.cctv.com/2021/07/04/ARTIi0k5AfYQiLLKJroQFRqM210704.shtml,https://p5.img.cctvpic.com/photoworkspace/2021/07/04/2021070417372542393.jpg,该旅组织党员宣誓  7月1日，正在塞北草原开展实战化练兵的第81集团军某旅官兵通过电视直播收看了庆祝中国共产党成立100周年大会盛况。随后，该旅表彰优秀基层党组织、优秀党务工作者、优秀共产党员，组织党员宣誓，引导官兵铭记责任、矢志强军、牢记使命。（张楠、薛伟摄影报道）该旅官兵学习老排长王占山英雄事迹
131,百炼成钢，海军陆战队某基地新兵毕业了,三个月前，一群少年从五湖四海汇聚于海军陆战队某基地，将炽热的青春梦想融入军营。他们历经百日磨练，如今淬火成钢，练就一身过硬本领。快跟随小编的镜头，一起领略新兵风采。,https://military.cctv.com/2021/07/04/ARTI09znXB35x1O5psxZxx7H210704.shtml,https://p2.img.cctvpic.com/photoworkspace/2021/07/04/2021070417333863800.jpg,央广网7月3日消息（孙宏韬尹彤岩）三个月前，一群少年从五湖四海汇聚于海军陆战队某基地，将炽热的青春梦想融入军营。他们历经百日磨练，如今淬火成钢，练就一身过硬本领。快跟随小编的镜头，一起领略新兵风采。
132,每当凝望那张面孔,随着哨声响起，陆军第75集团军某旅列兵林成龙和他的战友们开始了本月第一次武装5公里考核。,https://military.cctv.com/2021/07/04/ARTIdkIdew02YYQwJAQipCuX210704.shtml,https://p3.img.cctvpic.com/photoworkspace/2021/07/04/2021070417235127469.jpg,林成龙在李向群雕像前敬礼。吕先超摄随着哨声响起，陆军第75集团军某旅列兵林成龙和他的战友们开始了本月第一次武装5公里考核。眼看剩下最后1公里了，林成龙步伐变得沉重起来，几名战友陆续超过他，他明显感到自己在“向后滑”。这时，湖边那排巍然耸立的全军英模雕像映入了他的眼帘。肩扛沙袋的舅舅李向群，仿佛在清新的晨光中注视着他。林成龙瞬间感觉浑身又充满了力量。“林成龙，22分钟！”冲过终点，听到成绩进步了，林成龙内心无比欣慰。去休息区时，林成龙停下来，朝着雕像的方向凝望了片刻。回到宿舍后，林成龙拿出一张泛黄的老照片。照片里，舅舅一身军装，笑容坚毅。林成龙入伍那年，外公把这张照片郑重地交给了他。林成龙没有见过舅舅，但常常听家人提起他。外公常常叮嘱他：“舅舅是全家的骄傲，你一定要好好学习，长大后做一个像舅舅那样的人。”8月22日是舅舅的忌日。每年的这天，林成龙会随全家人去为舅舅扫墓。有一年，正巧一群官兵也在为舅舅扫墓。他们神情庄重，现场氛围肃穆。舅舅究竟是个怎样的人？长大一些后，林成龙更加好奇了。舅舅牺牲后，外公放不下思念，将舅舅的卧室维持原样：地上有几张舅舅上学时在学雷锋小组为同学做的小板凳；桌子上摆着舅舅的书和日记本；日记本旁是舅舅在部队时给家里写的信，信中写道：“我们是抗洪抢险的先锋，哪里有洪水，我们就要先到哪里……”在舅舅的房间里，外公曾给林成龙讲起舅舅的故事。1998年夏，舅舅所在部队奉命参加抗洪抢险。期间，舅舅主动报名参加突击队，在左脚受伤的情况下始终战斗在抗洪抢险第一线，两次从病床上爬起，拔掉针管、扛起沙袋，奔向大坝；四次因极度虚弱晕倒在堤坝上……看着外公的眼角泪珠不断，林成龙内心深受触动。每次听外公讲完舅舅的故事后，林成龙都会想象舅舅当年抗洪的样子。参军入伍的想法，渐渐在他的心里生根发芽。2020年，18岁的林成龙看到了征兵消息。他把当兵的想法告诉了外公。外公眼里闪着泪光，欣慰地拍了拍林成龙的肩膀。入伍前，外公带林成龙来到家乡的李向群事迹陈列室。这不是林成龙第一次来，却是感受最深刻的一次。纪念馆中，舅舅穿过的救生衣，睡过的竹条床……每一件他都那么熟悉，此刻再次重温、细品，一种带着传承的使命感在他心底油然而生。离家那天，在车站，外公轻轻地摸着林成龙的脸庞，温暖的阳光洒下来，爷孙俩的影子被拉得很长。林成龙想，外公当年送舅舅当兵时的情景，是不是也是这样……列车渐行渐远，林成龙来到了他军旅生涯的出发点——塔山英雄团，一支饱经血与火考验、战功卓著的英雄部队，也是舅舅生前所在部队的兄弟单位。新兵连的训练节奏快、强度大，林成龙不敢有丝毫懈怠。他一有时间就练习整理内务、强化弱项课目……每到周末，林成龙会给外公打电话。电话那头的外公，常常很开心。对林成龙来说，每一次向外公讲述自己的进步，他都感觉在时空的长河里与舅舅更“亲近”了一些。
133,“二级战斗英雄”王占山：为党百战铠甲红,6月29日上午，北京人民大会堂金色大厅，习近平总书记将一枚代表党内最高荣誉的“七一勋章”，戴在92岁的老英雄王占山胸前。,https://military.cctv.com/2021/07/04/ARTI6nZRqBZw2RsnFT6bRlmM210704.shtml,https://p1.img.cctvpic.com/photoworkspace/2021/07/04/2021070417220660098.jpg,6月29日上午，北京人民大会堂金色大厅，习近平总书记将一枚代表党内最高荣誉的“七一勋章”，戴在92岁的老英雄王占山胸前。“没想到，这么多年了，党和国家都没有忘记我这个老兵！”抚摸着金灿灿的“七一勋章”，现场聆听了习主席重要讲话的王占山感慨万千。73年前，成为“党的人”那一刻，王占山刻骨铭心。1948年8月，吉林松原吴家窝堡村，东北野战军24师71团7连为参加辽沈战役而紧张备战。这天上午，入伍刚一年的通信兵王占山，被指导员马占海拽进屋：“马上要打大仗了，虽然你兵龄不长，但入党愿望很强烈，党组织想重点培养你，现在你跟着我一起宣誓！”宣誓完毕，马占海郑重地说：“入党了，打仗时要冲在最前面！”“我不怕，党指到哪里，我战斗到哪里！”这是王占山实现信仰追求、走向英雄之路的“成人礼”。战争年代，一切从简。王占山入党时，墙上连党旗都没有挂。但从那一刻起，党的旗帜始终飘扬在他的心头。这一年，是《共产党宣言》诞生100周年。文化水平不高的王占山，没有读过《共产党宣言》，但他入党前就近距离接触了共产党，还为党战斗了好几年。1938年，日军铁蹄踏破王占山的老家河北丰南县。王占山的父亲是农会会长，接受八路军领导。在父亲的影响下，王占山10岁就加入了抗日儿童团，像“王二小”一样站岗放哨。1946年，已是民兵队长的王占山被国民党保安队抓住，一起被羁押的还有4名八路军战士。第二天，保安队当着王占山和全村百姓的面，杀害了这几名八路军战士。“跟着共产党干？这就是下场！”保安队队员高举的屠刀寒光凛凛。“干！”王占山毫不畏惧。生死关头，远处突然传来一阵枪声。当地游击队赶来救援，保安队慌忙应战，王占山趁乱逃走。都说生死之外无大事。“刀已经架到脖子上了，您就不怕？”记者问道。老英雄答得云淡风轻：“闹革命哪能不死人呢？砍头也要闹革命！”2019年10月1日，新中国成立70周年大阅兵。战旗方队中，有一面“金汤桥连”战旗。400余公里外的河南安阳，正在收看现场直播的王占山激动地站了起来：“这面战旗可是我们全连80多名战友用命换来的！”1949年1月15日，王占山所在连队奉命夺取金汤桥。这是攻打天津的必经要道，国民党派了重兵在此把守，自诩“固若金汤”。战斗打响，冲在最前面的指导员马占海和几名突击队员中弹，踉跄着栽倒在地。那个把自己“领进党的大门”的人牺牲了！王占山心如刀绞。他和几名突击队员迂回到敌人眼皮底下，接连炸掉碉堡，将红旗插在了金汤桥上。此役，连队100多人打得只剩下24人。军领导在阵地上将连队命名为“金汤桥连”，并与24名官兵合影。照片上的掌旗者，就是王占山。枪在肩、刀在腰的王占山，从国内打到国外，遇到最强对手也毫不胆怯。去年10月，外孙带王占山观看以抗美援朝金城战役为原型的电影《金刚川》。惨烈的战斗场面让外孙震撼不已，一旁的王占山却说：“真实的战斗比这惨烈多了！”1953年7月18日拂晓，以美军为首的“联合国军”在飞机、大炮掩护下，向我408.1高地和408.2高地持续猛攻。志愿军第54军135师404团7连很快锐减至76人，连队干部只剩下三排排长王占山一人。“人在阵地在，决不后退一步！”王占山和战士们做好了牺牲的准备。4天4夜，他们打退敌人38次进攻，歼敌400余人。待兄弟连队前来换防时，全连仅剩下不到10人，且都身负重伤。王占山在野战医院昏迷了几天几夜，经医护人员全力抢救，才脱离生命危险。战后，王占山被志愿军总部授予“二级战斗英雄”荣誉称号，获朝鲜民主主义人民共和国一级国旗勋章。1954年冬，河北丰南县为王占山举行庆功大会，王占山赢得不少女青年仰慕。但他择偶有一条“硬标准”：非党员不娶。王占山的妻子席蕴兰今年87岁，与他是同乡，1953年入党，在县剧团宣传过抗美援朝，经舅舅介绍认识了王占山。“为什么非要找个党员？”记者问道。“党员找党员，同命心相连。党员的身上就是同一个味，就能互相理解。”王占山说。共产党员身上什么味道？这种味道，只有真正的共产党人才能品味到！这种味道，伴随着王占山在人生的上半场“为党战斗”、下半场“为党代言”。1953年10月，王占山从朝鲜战场回乡探亲，最先去的是牺牲的同乡战友张冠左的家。他召集家在附近的几位战友，拜托他们帮忙照顾烈士的遗孀遗孤。张冠左的女儿长大后，王占山又多方求助，帮她在当地安排了一份工作。王占山的妹妹觉得，哥哥帮战友的孩子安排工作，对自己的亲外甥应该更上心。那年征兵，她带着儿子到部队，见到当团长的王占山后开门见山：“把你外甥弄到你部队当兵，跟着你谋个好前程。”王占山却说：“到哪个部队当兵都一样，保家卫国还挑地方？”王占山一辈子最看不惯三种人：战场上，贪生怕死的人；工作中，投机钻营的人；生活里，吃党的饭砸党的锅的人。多年前，一位久未谋面的老部下前来看望王占山。起初，俩人相谈甚欢。聊着聊着，这位曾经很有追求的老部下开始发牢骚。原来，这位老部下提拔受挫，便对组织颇为不满。王占山拍案而起：“30多年前，你是大巴山里连饭都吃不饱的穷小子。如今，你坐上了处级干部的位置却还发牢骚？”在河南省安阳军分区党史学习教育课堂上，王占山结合这段经历，谈了自己的观点：“入党仪式一生一次，思想入党一生一世。党员就要在党言党、在党忧党、在党为党。党员要为党当好‘守门员’！”离休后的王占山，先后应邀担任10多所学校的校外辅导员，深入部队、学校、企事业单位等做革命传统报告数百场，捐款资助多名学生。习主席指出，一个政党，如一个人一样，最宝贵的是历尽沧桑，还怀有一颗赤子之心。正因为有了一代又一代像王占山这样的丹心赤子，我们的党才初心不改、征途如虹。（主人公照片由新华社记者李贺摄）
