id,title,brief,url,img_src,message
64,大脑中确认有一群“接线员”,我们的大脑存在“接线员”？据《细胞》杂志6日报道，美国哈佛医学院和博德研究所的科学家共同进行的一项最新研究首次表明，大脑抑制和兴奋之间的这种微妙平衡部分，是由高度特化的小胶质细胞亚群——大脑的常驻免疫细胞维持的。,https://news.cctv.com/2021/07/07/ARTIlcjn8ZwwFQ3SiudDDaFg210707.shtml,https://p3.img.cctvpic.com/photoworkspace/2021/07/07/2021070707033166658.jpg,科技日报北京7月6日电（记者张梦然）我们的大脑存在“接线员”？据《细胞》杂志6日报道，美国哈佛医学院和博德研究所的科学家共同进行的一项最新研究首次表明，大脑抑制和兴奋之间的这种微妙平衡部分，是由高度特化的小胶质细胞亚群——大脑的常驻免疫细胞维持的。这项在小鼠身上进行的研究第一次向人们揭示了这种专门的免疫细胞。人类的大脑每秒都会收到无数信号。大多数时候，我们会忽略无关紧要的线索，譬如苍蝇的嗡嗡声、树叶的轻柔沙沙声等等，与此同时，保持注意到一些重要的线索，譬如汽车喇叭的声音、敲门声等等。这也是我们能够在周围复杂世界中运作甚至生存的关键。大脑对这种无休止的信息流进行筛选并非容易之事，这种非凡能力是由数十亿个突触组成的复杂神经网络实现的，突触是调节细胞间信号传输的专门连接，这些连接中的一些会抑制信号传输，另一些则会加速信号传输，这是一种瞬息间即可完成的“平衡行为”，可确保我们的大脑以最大效率运行。现在，研究人员通过最先进的成像技术实现了首次观察，确定了大脑在抑制和兴奋这两者之间进行“平衡行为”的“接线员”，其至少部分是由高度特化的小胶质细胞亚群（一种大脑的常驻免疫细胞）来维持的，这种细胞原本以在对抗感染和清除细胞碎片方面的作用而闻名。该研究首次揭示了有一群专门的免疫细胞“非常适合”与抑制性突触互动，而抑制性突触正是减缓信息从细胞到细胞间流动的“连接点”。这些细胞是通过直接物理接触与抑制性突触相互作用的，研究人员表示，某些类型的小胶质细胞被“招募”而来，再以非常特定的方式“参与工作”。研究的第一作者艾米丽亚·法芙兹表示：“我们发现专门的免疫细胞和神经元细胞在早期大脑发育过程中有关键性参与，它们形成的相互作用，对建立平衡的‘大脑布线’至关重要。”如果大脑“有闻必录”，人类面对的就是信息爆炸。如果没有筛选，人类只会被信息洪流击倒，更遑论理性分析。“划重点”确实是一种非凡的能力。科研人员发现，放过什么，留下什么，这和大脑的常驻免疫细胞有关。虽然乍看之下，免疫细胞似乎不承担此类功能，但说实在的，什么细胞在大脑中确切发挥什么作用，人类也并没有透彻了解。现在知道的是，在大脑早期发育过程中，这类细胞有关键性参与。它们让我们的大脑顺利分清主次，让思考成为可能。
65,独家视频丨我国成功发射天链一号05星,北京时间2021年7月6日23时53分，我国在西昌卫星发射中心用长征三号丙运载火箭，成功将天链一号05星发射升空，卫星顺利进入预定轨道，发射任务获得圆满成功。,https://news.cctv.com/2021/07/07/ARTIYDDIG1XWOV5xU5OaYqDd210707.shtml,https://p4.img.cctvpic.com/photoworkspace/2021/07/07/2021070706554574641.jpg,北京时间2021年7月6日23时53分，我国在西昌卫星发射中心用长征三号丙运载火箭，成功将天链一号05星发射升空，卫星顺利进入预定轨道，发射任务获得圆满成功。此次任务是长征系列运载火箭的第378次飞行。（总台央视记者刘常连杨弘杨刘旭刘文勇何玲路遥梅咏东邓文涛我们的太空创新实践中心：高阳黄国畅图片：郭文彬杨熙）
66,风三E星为全球数值天气预报观测加开“早班车”,7月5日7时28分，风云三号E星在酒泉卫星发射中心成功发射。作为我国第二代极轨气象卫星的E星，是全球首颗民用晨昏轨道气象卫星，填补了国际晨昏轨道气象卫星技术空白。,https://news.cctv.com/2021/07/06/ARTIcPWhx8TjYHWwUKMhXF8x210706.shtml,https://p3.img.cctvpic.com/photoworkspace/2021/07/06/2021070607290862691.jpg,◎谷宇科技日报记者付丽丽付毅飞7月5日7时28分，风云三号E星在酒泉卫星发射中心成功发射。作为我国第二代极轨气象卫星的E星，是全球首颗民用晨昏轨道气象卫星，填补了国际晨昏轨道气象卫星技术空白。至此，我国成为世界上唯一同时拥有上午、下午、晨昏轨道三轨道组网气象卫星的国家。“风云三号E星将填补全球数值天气预报6小时同化窗内卫星观测资料的空白，通过上午星、下午星、黎明星三星组网，我国将实现全球观测资料的100%覆盖。”风云三号E星总指挥李海生说。极轨气象卫星沿太阳同步轨道运行，在800千米左右的高度围绕地球两极运行。一般来说，它的首要任务是为数值天气预报提供满足时间和空间要求的全球观测资料，提高预报时效和精度。目前，欧美业务极轨气象卫星由欧洲Metop上午轨道卫星和美国S-NPP、JPSS下午轨道卫星组成，采用双边全球资料业务交换和共享的协作组网观测模式。而我国的风云三号A星、C星卫星轨道接近欧洲的Metop卫星，风云三号B星、D星卫星轨道接近美国的S-NPP、JPSS卫星。与美欧相同，现有的卫星观测时间均集中在上午10时、下午2时左右，每6小时观测同化时间窗内全球总有2—3条轨道的卫星观测空白区，无法提供全球覆盖的数值预报初始场观测。为满足数值天气预报观测需求，世界气象组织在《2025年全球观测系统展望》报告中提出了建立上午、下午、晨昏轨道三颗卫星组网观测的概念。“这就像以前只有上午、下午的班车，而没有早班车，通俗地说，这颗星就是早班车。其发射成功后，在仅使用国产卫星的情况下，预计可延长预报时效约12小时。”中国气象局风云气象卫星工程总设计师杨军说。杨军介绍，晨昏轨道卫星的加入，将填补上述空白缺憾——它沿观测地方的晨昏线运行，观测地方时间总在凌晨和傍晚。分析认为，单星6小时可以观测全球将近45%的区域，双星6小时可观测全球85%左右的区域，三星6小时可以观测全球的全部区域，将对南北半球预报和洲际尺度的区域预报产生巨大贡献，南北半球预报精度可提高2%—3%，洲际尺度的区域预报精度可提高2%—10%。在业内，这颗星被誉为开启新征程的“黎明星”，代表着中国气象卫星科技攀升到了一个新高度。同上午卫星和下午卫星相比，晨昏轨道卫星观测时太阳高度角低，地形和云顶高度的几何特征更为明显，利用这种优势，风云三号E星可以在晨雾、台风、强对流的监测和分析中开展独特的应用。风云三号E星总设计师王金华告诉记者，此次风云三号E星装载的中分辨率光谱成像仪新增宽幅、高灵敏微光成像通道，动态范围达到7个数量级，是我国最先进的定量化全球微光成像仪器，在轨应用后可实现大气、陆地、海洋参量的高精度微光定量反演，大幅提高弱光照射条件的监测精度。杨军介绍，与D星相比，E星探测性能大幅提升。有数字为证，国内首次实现双频双极化海面风场精确探测，测风精度达到2米/秒；中分辨率光谱成像仪微光通道动态范围达到7个数量级，在1/4月光辐亮度下信噪比大于11，是我国最先进的定量化微光探测仪器；红外高光谱大气探测仪观测覆盖能力提升80%，灵敏度达到国际先进水平，辐射探测精度和光谱精度为我国目前星载最高水平。凭借新轨道，风云三号E星可使全球多个国家和地区的天气预报机构会商人员每天早间拿到时次最接近、资料最新的卫星图像和产品，为天气预报提供最具时效性的信息。同时，由于黎明星观测时段地表温度和大气边界层温度差异最大、云量较少、绝对湿度较低，有助于风云三号E星利用红外发射原理开展大气气体的遥感观测和空气质量监测工作。“风云三号E星装载了11台（套）先进的遥感仪器，在观测通道、探测精度、光谱覆盖连续性等三方面核心能力都有所突破，实现了风云系列卫星首次主动微波遥感探测，可丰富常规气象观测匮乏的海洋观测资料，提高台风等海上气象灾害的预报能力。”国家卫星气象中心副主任、风云三号地面应用系统总指挥张鹏说。不仅如此，这个在黎明和夜间的“值班星”还能更加精准地判识晨雾、夜间火灾等特殊时段的自然灾害；探测全球夜间城市灯光分布，进而间接反应城市经济状况、夜间污染排放等信息；遥感监测大气中一氧化碳、臭氧等痕量气体。此外，张鹏表示，其还大大提升了全要素的观测能力，可以观测到大气圈、岩石圈、生物圈的各种要素，而大气圈的温度、湿度，陆表植被变化，海面风速，岩石圈的积雪、两极极冰变化，都是体现气候变化的要素。“海洋、大气、太阳都是气候敏感的变化参量，也都可以通过风云三号E星来获得，这些丰富的观测资料将为中国应对气候变化提供科学依据。”杨军强调。科技的最大价值终将体现在惠民。作为国际上第一颗晨昏轨道民用气象卫星，风云三号E星的观测数据可用于支撑和改进全球数值天气预报、全球气候变化的监测预测、空间天气监测预警业务。未来，风云三号气象卫星03批还有三颗星将陆续发射，包括一颗首发的降水星，全球百姓都将是受益者。
67,首颗晨昏轨道气象卫星成功发射 将为我们带来什么？,5日7时28分，金色巨焰腾起，风云三号E星搭乘长征四号丙运载火箭在酒泉卫星发射中心成功发射。,https://news.cctv.com/2021/07/05/ARTI6QuNiH1EH89qL101KDrv210705.shtml,https://p4.img.cctvpic.com/photoworkspace/2021/07/05/2021070514411262548.jpg,新华社甘肃酒泉7月5日电 新华社记者黄垚、胡喆5日7时28分，金色巨焰腾起，风云三号E星搭乘长征四号丙运载火箭在酒泉卫星发射中心成功发射。这颗全球首颗民用晨昏轨道气象卫星将与在轨的风云三号C星和D星组网运行，使我国成为国际上唯一同时拥有晨昏、上午、下午三条轨道气象卫星组网观测能力的国家。作为我国第二代极轨气象卫星，被称为“黎明星”的风云三号E星有何特别之处？它将为我们带来什么？一般来说，极轨气象卫星的首要任务是为数值天气预报提供观测资料。与美欧相同，我国现有极轨气象卫星观测时间均集中在上午10时、下午2时左右。每6小时观测同化时间窗内，全球总有2至3条轨道处于卫星观测空白区，无法提供全球覆盖的初始观测。“E星将补上全球数值天气预报观测资料的‘最后一块拼图’。”中国气象局风云气象卫星工程总设计师杨军说，上午、下午和晨昏卫星三星组网后，每6小时可为数值预报提供一次完整全球覆盖资料，能有效提高和改进全球数值天气预报的精度和时效。专家预测，这可能使南北半球预报精度提高2%至3%，洲际尺度的区域预报精度提高2%至10%。此外，同上午卫星和下午卫星相比，晨昏轨道卫星观测时太阳高度角低，地形和云顶高度的几何特征更为明显。“利用这种优势，E星可以在晨雾、台风、强对流监测和分析中开展独特应用。”杨军说，“今后我们可以在晨雾产生时刻就进行监测，有助于为交通提供更及时有效的指引。”7月5日7时28分，我国在酒泉卫星发射中心用长征四号丙运载火箭，成功将风云三号05星送入预定轨道，发射任务获得圆满成功。新华社发（汪江波摄）作为一颗“创新星”，风云三号E星有效载荷多、活动部件多、定量化要求高……在技术上实现多个“首次”。风云三号E星总设计师王金华介绍说：“E星装载的中分辨率光谱成像仪新增大幅宽、高灵敏微光成像通道，动态范围达到7个数量级，是我国最先进的定量化全球微光探测仪器，在轨应用后可实现大气、陆地、海洋参量的高精度定量反演，大幅提高监测精度。”此次E星搭载国内首个双频双极化风场测量雷达，可获取全球海洋表面风速、风向等风场信息，并实现对海面风场高精度、大动态、高分辨率测量，也可测量海冰、土壤湿度、植被等地表物理特性。“船舶、海水浮标、沿岸海洋观测站等传统观测手段不仅成本高昂，而且无法保证时间和空间上的连续性。”王金华说，卫星监测可帮助获取更加精确的海洋风场数据，为气候变化研究、海洋航运、海洋工程等提供参考。同时，E星还在国内首次实现全能谱太阳观测，通过3台不同载荷分别从光谱、成像、辐射总量等侧面对太阳进行全方位同步观测，将为科学家理解地球气候和天气变化原因提供更加全面的资料。7月5日7时28分，我国在酒泉卫星发射中心用长征四号丙运载火箭，成功将风云三号05星送入预定轨道，发射任务获得圆满成功。新华社发（汪江波摄）专家表示，风云三号E星的成功发射和在轨运行将提升我国在气象预报预测、应对气候变化、环境生态监测、空间天气预警等应用层面的能力，完善我国现有气象业务观测体系，同时使我国在业务上形成同欧美卫星的等价互补之势。“依托E星独特的全球观测资料，我国可以同世界其他气象发达国家和地区开展技术合作交流，进一步提升我国在国际气象事务中的话语权与影响力。”国家卫星气象中心副主任、风云三号地面应用系统总指挥张鹏说。组网观测后，包含E星在内的风云三号卫星可用于开展大范围植被、陆表温度等参数定量反演以及水体、积雪、热异常点等地物目标识别工作，为干旱、洪涝、森林草原火灾等灾害风险与应急监测提供数据支撑。同时，E星新增的城市背景灯光合成、洋面风、云区温湿度廓线等遥感产品，将在社会经济、海洋动力、大气探测等研究领域有所应用。
68,研究发现水星巨大铁核与太阳磁场有关,美国马里兰大学的一项新研究对有关水星的一个流行假说提出了质疑。该假说解释了水星为何有着相对其地幔（介于行星内核和地壳之间的部分）而言较大的内核。,https://news.cctv.com/2021/07/05/ARTIbEoMsr9dwlS9dF6l8L41210705.shtml,https://p1.img.cctvpic.com/photoworkspace/2021/07/05/2021070514134986651.jpg,新华社北京7月5日电《参考消息》5日刊登美国每日科技网站报道《科学家过去有关水星的理论错了吗——它的巨大铁核可能是因为磁性》。摘要如下：美国马里兰大学的一项新研究对有关水星的一个流行假说提出了质疑。该假说解释了水星为何有着相对其地幔（介于行星内核和地壳之间的部分）而言较大的内核。几十年来，科学家们一直认为，在太阳系形成过程中，与其他天体“撞了就跑”式的撞击导致水星地幔大量流失，并留下了巨大、致密的金属内核。但新研究揭示，原因不在于碰撞，而在于太阳的磁性。马里兰大学地质学教授威廉·麦克多诺和日本东北大学的吉崎昂开发了一个模型，显示一颗岩态行星内核的密度、质量和铁含量受到其与太阳磁场距离的影响。描述这一模型的论文发表在2021年7月2日出版的《地球与行星科学进展》杂志上。麦克多诺说：“我们太阳系的4颗内层行星——水星、金星、地球和火星——由不同比例的金属和岩石构成。随着行星距离太阳越远，其内核中的金属含量会下降。我们的论文显示，在太阳系的早期形成过程中，原材料的分布受到太阳磁场的控制，从而对这种情况作出了说明。”麦克多诺的新模型显示，在太阳系形成初期，年轻的太阳被旋转的尘埃和气体云团包围，铁粒则被太阳的磁场吸引向中心。当行星开始从尘埃和气体云团中形成时，相比距离太阳较远的行星，离太阳较近的行星在其内核中吸收了更多的铁。研究人员发现，在岩态行星的内核中，内核的密度和铁的含量与行星形成时太阳周围磁场的强度相关。他们的新研究表明，在今后描述岩态行星——包括太阳系外岩态行星——构成的尝试中，应该将磁性考虑进去。麦克多诺利用现有的行星形成模型确定了在太阳系形成过程中气体和尘埃被拉入太阳系中心的速度。他考虑了太阳在形成时产生的磁场，并计算了该磁场如何穿过尘埃和气体云团吸引铁。随着早期太阳系开始冷却，未被吸引进入太阳的尘埃和气体开始聚集。离太阳较近的团块会暴露在较强的磁场下，因此会比离太阳较远的团块含有更多的铁。随着这些团块汇集并冷却成旋转的行星，引力将铁吸引到它们的内核中。随着麦克多诺将这一模型纳入行星形成的计算，它揭示了行星内核金属含量和密度的一种变化率，这同科学家对太阳系行星的已有认识非常吻合。水星的金属内核约占其质量的四分之三。地球和金星的内核只占其质量的约三分之一，而作为岩态行星最外层的火星，其内核只占其质量的约四分之一。
69,首颗晨昏轨道气象卫星成功发射 将为我们带来什么？,5日7时28分，金色巨焰腾起，风云三号E星搭乘长征四号丙运载火箭在酒泉卫星发射中心成功发射。,https://news.cctv.com/2021/07/05/ARTI7PhlpcAMsQOtrjsbJZ7B210705.shtml,https://p3.img.cctvpic.com/photoworkspace/2021/07/05/2021070513480266038.jpg,新华社甘肃酒泉7月5日电 新华社记者黄垚、胡喆5日7时28分，金色巨焰腾起，风云三号E星搭乘长征四号丙运载火箭在酒泉卫星发射中心成功发射。这颗全球首颗民用晨昏轨道气象卫星将与在轨的风云三号C星和D星组网运行，使我国成为国际上唯一同时拥有晨昏、上午、下午三条轨道气象卫星组网观测能力的国家。作为我国第二代极轨气象卫星，被称为“黎明星”的风云三号E星有何特别之处？它将为我们带来什么？一般来说，极轨气象卫星的首要任务是为数值天气预报提供观测资料。与美欧相同，我国现有极轨气象卫星观测时间均集中在上午10时、下午2时左右。每6小时观测同化时间窗内，全球总有2至3条轨道处于卫星观测空白区，无法提供全球覆盖的初始观测。“E星将补上全球数值天气预报观测资料的‘最后一块拼图’。”中国气象局风云气象卫星工程总设计师杨军说，上午、下午和晨昏卫星三星组网后，每6小时可为数值预报提供一次完整全球覆盖资料，能有效提高和改进全球数值天气预报的精度和时效。专家预测，这可能使南北半球预报精度提高2%至3%，洲际尺度的区域预报精度提高2%至10%。此外，同上午卫星和下午卫星相比，晨昏轨道卫星观测时太阳高度角低，地形和云顶高度的几何特征更为明显。“利用这种优势，E星可以在晨雾、台风、强对流监测和分析中开展独特应用。”杨军说，“今后我们可以在晨雾产生时刻就进行监测，有助于为交通提供更及时有效的指引。”7月5日7时28分，我国在酒泉卫星发射中心用长征四号丙运载火箭，成功将风云三号05星送入预定轨道，发射任务获得圆满成功。新华社发（汪江波摄）作为一颗“创新星”，风云三号E星有效载荷多、活动部件多、定量化要求高……在技术上实现多个“首次”。风云三号E星总设计师王金华介绍说：“E星装载的中分辨率光谱成像仪新增大幅宽、高灵敏微光成像通道，动态范围达到7个数量级，是我国最先进的定量化全球微光探测仪器，在轨应用后可实现大气、陆地、海洋参量的高精度定量反演，大幅提高监测精度。”此次E星搭载国内首个双频双极化风场测量雷达，可获取全球海洋表面风速、风向等风场信息，并实现对海面风场高精度、大动态、高分辨率测量，也可测量海冰、土壤湿度、植被等地表物理特性。“船舶、海水浮标、沿岸海洋观测站等传统观测手段不仅成本高昂，而且无法保证时间和空间上的连续性。”王金华说，卫星监测可帮助获取更加精确的海洋风场数据，为气候变化研究、海洋航运、海洋工程等提供参考。同时，E星还在国内首次实现全能谱太阳观测，通过3台不同载荷分别从光谱、成像、辐射总量等侧面对太阳进行全方位同步观测，将为科学家理解地球气候和天气变化原因提供更加全面的资料。7月5日7时28分，我国在酒泉卫星发射中心用长征四号丙运载火箭，成功将风云三号05星送入预定轨道，发射任务获得圆满成功。新华社发（汪江波摄）专家表示，风云三号E星的成功发射和在轨运行将提升我国在气象预报预测、应对气候变化、环境生态监测、空间天气预警等应用层面的能力，完善我国现有气象业务观测体系，同时使我国在业务上形成同欧美卫星的等价互补之势。“依托E星独特的全球观测资料，我国可以同世界其他气象发达国家和地区开展技术合作交流，进一步提升我国在国际气象事务中的话语权与影响力。”国家卫星气象中心副主任、风云三号地面应用系统总指挥张鹏说。组网观测后，包含E星在内的风云三号卫星可用于开展大范围植被、陆表温度等参数定量反演以及水体、积雪、热异常点等地物目标识别工作，为干旱、洪涝、森林草原火灾等灾害风险与应急监测提供数据支撑。同时，E星新增的城市背景灯光合成、洋面风、云区温湿度廓线等遥感产品，将在社会经济、海洋动力、大气探测等研究领域有所应用。
70,三颗“天链”卫星助力“神十二”航天员乘组出舱任务 完成天基测控任务,在4日神舟十二号航天员乘组首次出舱任务中，北京空间信息传输中心针对出舱活动持续时间长、测控连续性要求高等特点，精心设计测控方案，在天链一号03、04星接力跟踪基础上使用天链二号01星独有的多址天线填补测控间隙，保障航天员出舱活动...,https://news.cctv.com/2021/07/05/ARTIVBHDblBq01pFvsM7peop210705.shtml,https://p1.img.cctvpic.com/photoworkspace/2021/07/05/2021070513221328620.jpg,中新网北京7月5日电(马帅莎周永刚王然)在4日神舟十二号航天员乘组首次出舱任务中，北京空间信息传输中心针对出舱活动持续时间长、测控连续性要求高等特点，精心设计测控方案，在天链一号03、04星接力跟踪基础上使用天链二号01星独有的多址天线填补测控间隙，保障航天员出舱活动的连续性。在此次时长约7小时的出舱活动中，中心各分系统密切配合，圆满完成了出舱活动的天基测控任务，为地面实时观测航天员出舱状态、航天员与地面之间对话沟通提供了有效高速的话音图像中继传输服务。北京空间信息传输中心地面站工程师罗军说，“从2008年翟志刚的‘我已出舱，感觉良好’，到2021年刘伯明的‘这外面太漂亮了’，中继卫星系统每次都能记录下航天员出舱时的第一声赞叹，每次都能将中国人在太空中的身影第一时间传回，作为天路团队的一员，我感到十分自豪骄傲。”2008年，“天链一号”01星刚刚发射升空，随即参与到了神舟七号任务当中，首次亮相即完成了航天员翟志刚出舱活动的数据传输任务。现如今已经有两代5颗中继卫星遨游太空，神舟十二号飞船与空间站组合体交会对接、航天员进行音视频天地通话……01星的“弟弟”们接过了天基测控的接力棒，为空间站任务提供着越来越好的天基测控与数据中继服务。地面站是中继卫星系统联天接地的重要一环，自空间站任务开启以来，罗军与其他分布在中国各地的地面站工作人员一直坚守在岗位上，确保天地间数据传输正常。为了完成此次出舱任务，他们提前进行了多次系统状态检查，充分考虑不良天气、应急事件处置等突发情况，制订了详实的方案预案，进一步提高了执行任务的稳定性、可靠性。“无论是7小时、70小时还是700小时，我们都将坚守岗位，认真监视链路状态，确保航天员与地面能够随时随地沟通，地面对空间站的状态能够全时全天候掌握。”北京空间信息传输中心地面站站长王磊说。
71,3个国际国内首次 这颗风云三号星不一般,“黎明星”风云三号E星5日在酒泉卫星发射中心发射升空，该卫星由中国航天科技集团有限公司第八研究院抓总研制，是中国第二代低轨气象卫星系列风云三号的第5颗卫星。,https://news.cctv.com/2021/07/05/ARTIunQAxqeIMxGXWDAmyeWr210705.shtml,https://p5.img.cctvpic.com/photoworkspace/2021/07/05/2021070511021795736.jpg,中新网上海7月5日电题：3个国际国内首次这颗风云三号星不一般“黎明星”风云三号E星5日在酒泉卫星发射中心发射升空，该卫星由中国航天科技集团有限公司第八研究院抓总研制，是中国第二代低轨气象卫星系列风云三号的第5颗卫星。风云三号E星是风云卫星家族首颗晨昏轨道卫星，也是世界气象卫星家族中的首颗民用晨昏轨道卫星。世界气象组织在《2025年全球观测系统展望》中提出了建立上午、下午和晨昏轨道3颗卫星组网观测的概念。此次风云三号E星的成功发射将弥补卫星观测轨道(早5:30和傍晚17:30)的缺憾及观测资料的不足，有效补充6小时数值天气预报模式同化窗内卫星观测资料的空白。海面风场是海气交互界面的重要物理参数，对全球气候调节有着十分重要的作用，对海洋航运、海上捕鱼作业以及海洋工程等活动的开展有着重要的影响。船舶、海水浮标、沿岸海洋观测站等传统现场观测手段不仅成本高昂，而且由于海洋面积广阔，无法保证在时间和空间上的连续性。风云三号E星装载了“中国首个双频双极化风场测量雷达”，通过海面后向散射测量，获取全球海洋表面的风场信息，通过星上内定标和在轨主动设备的外定标实现海面风场的高精度、大动态、高分辨率测量，并对海冰、土壤湿度、植被等地表物理特性进行测量。太阳辐射是地表能量的来源，随着全球气候演变，太阳辐射的变化特征以及可能产生的气候效应也引起了科学界的关注。充分利用晨昏轨道，可以长时间连续观测太阳。此次风云三号E星装载了太阳辐照度光谱仪、太阳X-EUV成像仪、太阳辐射监测仪(国际比对型)3台不同载荷开展太阳观测，分别从光谱、成像、辐射总量等不同侧面对太阳进行全方位同步观测，将为科学家理解地球气候和天气变化的原因和驱动力提供更加全面的资料。（郑莹莹马帅莎郭超凯）
72,世界首只人工饲养繁殖的第八代黑叶猴成功存活,近日，记者从广西梧州市黑叶猴保护研究中心了解到，今年4月15日、16日两天接连出生的两只雄性黑叶猴宝宝均由猴妈妈自然育幼成功，健康成长，如今已有两个半月大。其中，4月15日出生的猴宝宝是目前世界上首只人工饲养繁殖的第八代黑叶猴。,https://news.cctv.com/2021/07/05/ARTIWP4wLZN3uUzWQSzbT7uk210705.shtml,https://p5.img.cctvpic.com/photoworkspace/2021/07/05/2021070510510998360.jpg,近日，记者从广西梧州市黑叶猴保护研究中心了解到，今年4月15日、16日两天接连出生的两只雄性黑叶猴宝宝均由猴妈妈自然育幼成功，健康成长，如今已有两个半月大。其中，4月15日出生的猴宝宝是目前世界上首只人工饲养繁殖的第八代黑叶猴。4月15日凌晨出生的这只黑叶猴是早产猴宝宝，所以刚出生的时候身体有些虚弱。黑叶猴是国家一级保护动物、世界濒危物种，野生雌性黑叶猴经人工繁殖产下的仔猴为第一代人工饲养繁殖黑叶猴。人工繁殖的黑叶猴算哪几代，由生下它的雌性猴子决定。4月15日出生的猴宝宝的妈妈是第七代人工饲养繁殖黑叶猴，所以它就是第八代人工饲养繁殖黑叶猴。另外，4月16日出生的黑叶猴为第五代人工饲养繁殖的黑叶猴。这只猴宝宝足月出生，虽然比第八代黑叶猴迟一天出生，但却要比它更强壮。（总台央视记者沈庆岑通）
73,我国成功发射风云三号05星,北京时间2021年7月5日7时28分，我国在酒泉卫星发射中心用长征四号丙运载火箭，成功将风云三号05星送入预定轨道，发射任务获得圆满成功。,https://news.cctv.com/2021/07/05/ARTICBFEEgkXTBF4gfx8X7wu210705.shtml,https://p5.img.cctvpic.com/photoworkspace/2021/07/05/2021070508002599527.jpg,北京时间2021年7月5日7时28分，我国在酒泉卫星发射中心用长征四号丙运载火箭，成功将风云三号05星送入预定轨道，发射任务获得圆满成功。此次任务是长征系列运载火箭的第377次飞行。总台央视记者丨杨弘杨我们的太空创新实践中心丨郑伟杰奉青玲摄影丨汪江波视频丨李裕祥姚军鹏
